"region","2016, январь","2016, февраль","2016, март","2016, апрель","2016, май","2016, июнь","2016, июль","2016, август","2016, сентябрь","2016, октябрь","2016, ноябрь","2016, декабрь","2017, январь","2017, февраль","2017, март","2017, апрель","2017, май","2017, июнь","2017, июль","2017, август","2017, сентябрь","2017, октябрь","2017, ноябрь","2017, декабрь","2018, январь","2018, февраль","2018, март","2018, апрель","2018, май","2018, июнь","2018, июль","2018, август","2018, сентябрь","2018, октябрь","2018, ноябрь","2018, декабрь","2019, январь","2019, февраль","2019, март","2019, апрель","2019, май","2019, июнь","2019, июль","2019, август","2019, сентябрь","2019, октябрь","2019, ноябрь","2019, декабрь","2020, январь","2020, февраль","2020, март","2020, апрель","2020, май","2020, июнь","2020, июль","2020, август","2020, сентябрь","2020, октябрь","2020, ноябрь","2020, декабрь","2021, январь","2021, февраль","2021, март","2021, апрель","2021, май","2021, июнь","2021, июль","2021, август","2021, сентябрь","2021, октябрь","2021, ноябрь","2021, декабрь","2022, январь","2022, февраль","2022, март","2022, апрель","2022, май","2022, июнь","2022, июль","2022, август","2022, сентябрь","2022, октябрь","2022, ноябрь","2022, декабрь","2023, январь","2023, февраль","2023, март","2023, апрель","2023, май","2023, июнь","2023, июль","2023, август","2023, сентябрь","2023, октябрь","2023, ноябрь","2023, декабрь","2024, январь","2024, февраль","2024, март","2024, апрель"
"Новгородская область","25343","26042","26720","26362","27826","28428","28436","27956","27830","27494","27358","34387.8","27193","26200","28384","27903","29380","29964","29845","29021","29049","28504","29028","35746","30349","28904","30069","30312","32244","32309","31303","30833","29797","30336","30820","37973","30623","29450","30893","31305","32180.1","32809","31948","31281","30709","31037","31168","37415","30700","30814","31098","31214","31892","32545","33614.7","32029","32005","32228","31727.1","39789","32180","33139","36230","37248","38627","39993","40793","39654","41055","39539","40907","54308","43794","40966","44486","44668","45026","47406","47026","45949","46173","46834","47762","63732","50869","47214","50117","49923","53526","56605","53804","52961","54712","53847","54623","73463","59722","56502","59105","59300"
"Псковская область","20693","21185","21414","21736","22532","23632","21872","21387","22039","22319","22027","26454.3","21169","21239","22565","22747","24331","24841","22972.5","22160","22606","22241","22964","30042","23175","25740","25398","25312","27177","28181","25998","26075","26677","26696","27339","34584","26469","26803","28260","28485","30100.7","31069","29024","28358","28970","29061","28800","36447","29208","29358","30723","29633","32473","33291","31401.6","30119","30693","31359","30027.7","39091","31162","31001","32816","33490","34683","37478","34367","33231","34966","34397","34940","44194","34764","34479","37211","38296","38302","42097","37676","37439","38070","38714","39411","48431","39378","39669","41639","41963","45013","47576","43103","42707","43828","45647","46158","57857","47230","48854","50291","50689"
"г. Санкт-Петербург","42104","45919","48407","46919","47370","50521","48483","46084","47192","47908","48591","65086.2","47436","49864","53271","53261","52269","57421","53586","51571","52605","53874","54353","72342","58598","57409","60343","59576","57190","62619","59604","56100","57331","57951","58310","77666","56586","58625","64413","63555","60751.8","65286","63207","59249","60205","62224","61141","83582","62513","65249","72001","62298","64265","70494","68216.6","63279","67935","66952","65464.6","92240","66078","71681","75521","76519","73944","79043","73925","69559","74608","72227","74143","103797","73522","79363","89679","82047","80698","88482","80900","77359","80770","80747","82449","117550","80112","90108","91936","92316","93366","101155","91587","88163","90926","95090","93054","130720","92526","104870","104108","103553"
"Южный федеральный округ","23985","24744","25583","26259","27500","28193","26777","26848","27128","26972","27114","34276.9","25715","25929","27558","28079","28911","30362","28284.9","27949","28409","28297","28506","36124","28686","29151","30328","30964","31919","33168","30987","30769","31045","31080","31209","39082","30632","30963","32610","33752","34552.2","35699","33700","33609","33878","34375","33959","43590","33808","33786","35884","34540","36288","37166","35133.2","34121","34810","35198","35426.3","47870","35652","35888","37899","39077","39796","41569","38391","37392","38703","38673","38858","51656","39412","39279","43361","43877","43931","46784","44246","43832","44801","45561","45681","60558","45846","46243","49341","49177","51639","54436","50989","50911","51057","52411","52536","69421","53531","54225","58609","59821"
"Республика Адыгея","20972","21507","22047","22093","23667","24943","21595","22096","22631","22400","23527","28358.7","21976","22618","23581","23029","24773","25922","22624.3","22766","23601","23741","25273","30752","24648","24796","25592","25841","27833","29027","25613","26514","26717","26665","27455","30975","26915","27214","28182","28802","30124.2","31817","28033","28276","29051","29391","29504","37113","29390","30006","30895","30243","33032","33805","30411.8","30436","30791","31599","31336.9","39570","31780","32045","32929","34186","36037","38516","33678","34004","34455","35119","36711","48140","36351","35391","37786","37461","39591","42515","38435","38622","39865","40499","42037","52421","41387","40563","42198","42330","45511","48668","43512","44737","46369","47134","48037","59759","49581","48490","51691","51901"
"Республика Калмыкия","18644","19660","19846","19326","22195","23266","19450","20406","21225","20561","21288","27655.6","20185","21003","21751","22046","24551","25531","21126","22326","22594","23217","23703","29793","23635","24040","24662","25063","27363","29049","23353","24802","26164","25616","25719","33855","25542","25691","26525","27110","29734.7","30723","26044","26756","28094","27813","27730","38096","27586","27924","29190","29740","35245","34309","30793.1","30415","31560","31636","31202.8","40839","30578","31559","31665","32313","34904","35584","29011","29492","32887","32571","32480","44958","32119","31429","33583","34147","37690","40859","32293","34480","35162","36182","36219","47486","37301","36711","38818","38200","42139","45240","36560","37844","38536","39857","40721","56520","43281","44239","46412","46552"
"Республика Крым","22979","22687","23875","23516","24632","28834","24853","24763","26222","24921","25105","30795.3","23836","23861","25005","25284","26323","30577","26064.8","24775","26385","25879","25795","31975","26345","26716","28645","28675","29257","33425","28106","27790","28465","28422","28400","36027","28117","28799","31263","31815","32625.3","36674","31654","31274","32742","34253","32565","42505","31684","31882","34520","32360","34029","38144","31623.8","30318","32196","32889","31924.1","41840","31454","33129","35580","37411","37480","42373","37863","35825","38826","37870","37743","50366","37549","35501","38896","39619","40540","45374","40505","39593","41416","42016","41786","54370","41625","41240","44496","44047","45564","50707","45173","43778","45166","46909","47433","64526","46804","47673","50285","51025"
"Краснодарский край","25233","25833","26906","27660","29098","28967","28362","28893","29004","28768","28429","35914.4","27211","27273","29389","29526","31297","31628","30412.8","30310","30592","30377","30283","38173","30617","30983","32501","32857","34476","34643","33091","33238","33537","33310","33258","40807","32756","32575","34413","35663","37331.8","37015","35729","35948","36039","36101","35334","44733","35799","35217","37964","36885","37774","37978","35820.2","35182","35650","36155","36661.5","50686","37729","37431","39682","40985","42406","43201","39261","38863","39569","39980","39813","52537","41100","42125","46892","47915","46861","49191","47440","47232","48236","48531","48751","64391","48585","50678","52481","52350","55685","56285","54820","55313","55125","56533","56320","75436","57935","58630","64058","66306"
"Астраханская область","23737","25083","24850","26265","29178","28604","26207","27424","26324","25324","26118","33914.9","24540","25925","27102","30942","28013","31518","28203.6","29860","28674","28053","28892","39893","29138","31863","30643","32493","36459","35577","32541","34133","32219","32172","32166","44757","32429","32546","33297","37593","35852.2","36911","34126","35615","33875","34601","35563","48355","35834","37087","37724","35800","43020","40067","38407.7","38413","37367","37033","36589.2","51306","36995","38378","39522","39695","44604","43477","39902","39794","40105","39695","40202","57008","40110","40764","42884","42997","49018","49338","45117","47210","44632","45081","45946","66338","46151","46493","49809","50752","54862","56386","51580","52335","49866","50482","51176","72547","52409","53437","55980","57383"
"Волгоградская область","23229","24077","24614","24978","26217","26969","24981","25070","25179","25004","26085","32580.3","25555","25539","26550","27104","28162","29367","27041.9","27202","27391","27302","28222","35311","28748","28483","29126","30383","30626","31607","29760","29490","29075","29391","30097","37777","29684","30136","30806","32264","33079.2","34025","32690","31953","31764","32192","32720","41197","32592","33028","34614","33772","35393","35835","35962.5","34683","35088","35117","34491.6","46446","34984","34098","36686","37921","37915","39442","37448","36282","37268","36948","37980","49901","38308","37158","41524","41232","41263","44264","42015","40893","41152","42292","42229","59041","44938","43234","46588","46787","48909","51451","48463","48333","48051","49055","49431","67857","51661","51323","55356","57254"
"Ростовская область","23403","24162","25161","25856","26320","28285","26619","25723","26599","26791","26776","33992","25432","25708","27392","28045","28247","29759","28058.2","27066","27653","27978","27910","35308","27594","28204","29435","30238","30125","32084","30606","29480","30224","30634","30647","38033","29599","30392","32107","32769","32829.3","34707","33163","32769","33285","33873","33716","42989","32943","32935","34696","33202","34561","36006","35263.4","33686","34659","35094","36236.7","47582","35574","35700","37568","38544","38017","40348","38549","37006","38604","38657","38693","51285","39079","38718","42751","43313","42797","45790","44132","43327","44733","46126","46134","59077","45471","45271","50022","49551","51115","55751","51427","50895","51454","53087","53016","65494","52922","54123","58569","58560"
"г. Севастополь","23651","25511","24799","26698","26616","29258","26002","25063","26277","26274","25579","36662.5","25463","26095","28144","26259","25659","28166","26173","25178","27043","25827","27456","37454","28032","27773","29894","29279","29575","32704","29965","29004","30972","30242","31008","44137","29865","30525","34244","33105","33325.7","36648","32916","32199","33713","36183","33891","50372","33314","33747","35472","32657","36206","39194","33900.5","32811","34056","34419","33443.7","48712","32385","38643","37462","38271","37851","41697","38047","35817","38991","37864","39182","53315","38442","37801","40983","39502","40737","45286","39434","39006","42641","42574","42207","59470","42560","43112","45724","45099","45846","53057","45600","44624","46045","46371","47699","66893","49028","50170","54846","54107"
"Северо-Кавказский федеральный округ","20560","21399","21798","21750","22761","24524","22782","22362","23008","22408","22953","29240.5","21632","22142","23164","23207","23977","26016","24436.9","23304","24602","23680","24539","31413","24389","25384","25739","25795","27244","28953","26537","25878","25944","26152","26530","33671","25674","26324","27765","28296","29468.4","31362","28780","27490","28562","29171","29140","38381","29187","28820","29849","29087","31738","34284","30346","29788","30748","31048","30433.9","41638","30194","30627","32054","32560","33755","36097","32988","31426","33054","33052","33605","46355","33457","33162","35313","35743","36589","40100","36200","35258","36359","36966","37400","50869","37418","37399","39853","39791","41701","45945","40069","39481","40057","41621","41950","57672","42107","43764","47023","47555"
"Республика Дагестан","17783","18981","19303","18654","19982","22103","19366","18455","20156","19269","19840","25516.9","18781","19689","20531","20253","22383","25473","22053.3","20509","23005","20308","21522","27056","21699","23166","23900","23383","25289","28158","24023","22886","24314","23938","24550","31862","24083","25160","26195","26575","27493.4","29857","25749","24229","26134","26443","26645","37490","26779","26899","27924","27906","30449","35491","25832.2","26961","29993","29478","28894.6","41675","28731","29079","30708","30646","32396","36429","29459","28801","31843","32015","32343","43712","31169","31817","33081","34085","34667","40103","32831","31230","34131","35093","35157","50068","35202","35522","36765","36910","38913","44516","35129","34470","36637","37387","37949","53166","39102","40467","42213","42559"
"Республика Ингушетия","20118","21431","20734","20525","21797","23498","20993","20767","20963","20626","21356","25480.4","20669","21078","21312","21346","22760","25115","22586.5","20391","21421","20667","21914","25765","23362","25096","25999","25004","28625","28766","23744","23499","24288","24314","25663","29843","25006","25319","27313","26614","31608.5","30651","24306","25066","25719","26452","27214","32969","27835","27699","28310","27733","31656","35017","28841.7","29173","30336","29820","28424.1","36802","29984","29953","30479","31339","35182","32093","27551","27912","30723","30445","30742","38359","31148","31349","31350","32509","37138","34809","28212","29962","31100","32179","31871","41357","33090","33819","34765","35484","40829","39474","30563","32163","33754","34713","35073","47894","37376","37755","40622","38186"
"Кабардино-Балкарская Республика","19725","20497","20594","20362","21281","22568","21381","20799","21233","20914","21359","27119.7","19820","20142","20691","21188","21219","22362","22137.8","20980","22515","22328","23352","29499","23826","25161","25143","25679","25441","28313","23490","22873","23948","24427","25318","32622","25157","25030","25503","26603","27848.9","31457","26471","25561","26689","27245","27597","36638","27759","27761","27045","28006","31536","35228","27221.8","27089","28665","29742","28493.7","40069","28987","28762","29293","30509","32609","34417","28649","28132","30500","30633","31156","40423","31662","31398","32073","33520","34835","39124","30875","31760","32932","34231","34905","47622","35799","35787","37023","37214","39702","46732","35994","36048","37897","39593","40524","55536","41575","42014","43233","43248"
"Карачаево-Черкесская Республика","19640","20323","20598","20140","21171","23108","21516","20657","21664","20585","21540","26425.9","21143","21488","22240","22187","22763","24771","23212.8","21480","22314","22507","22732","30021","23653","23449","24215","24856","24742","27025","25464","23947","24455","24478","25699","32014","25032","24380","25261","25949","26733.4","29080","27539","24924","26520","26507","26705","35726","26970","27226","28644","27987","28952","32800","30765.2","28115","29088","29436","29230.6","40028","28936","30791","30722","31128","31234","35351","33185","29041","32038","29908","31210","41990","31271","32080","34767","34536","34726","39051","35394","32740","34644","33975","35302","45019","35899","35837","38154","38034","39286","43781","39094","36821","39202","39247","40351","55437","41246","43057","45489","44589"
"Республика Северная Осетия - Алания","20170","21388","21271","20707","22871","24600","20829","20439","21168","20965","21683","28911","21179","22066","22413","22602","23598","26695","22589.6","21189","23134","22611","24129","36407","24234","25885","26361","25744","27020","30084","26784","24349","25351","25488","26108","34143","26058","25427","27284","27568","28872.5","31415","27615","26291","27200","27634","28588","37487","27596","28463","28437","28801","32912","32721","29353.3","28258","29129","29882","29134","40572","29595","29822","30820","31555","32916","36493","30424","28681","31415","30666","32278","46564","31588","32621","33761","35260","35916","40713","34275","32675","34473","35600","36635","50829","36848","37795","38752","38969","40110","46316","38725","37434","38752","40150","41804","55482","41703","43364","44389","45206"
"Чеченская Республика","21196","21914","22364","21897","22301","22999","21816","21189","22326","22376","22646","27571.8","21928","22825","23281","22768","22874","23661","21584.5","21125","24168","21729","22464","29138","23807","24340","24999","24565","26590","26116","25389","25148","25622","25745","26108","32599","25024","25883","26478","26595","27716.5","27443","26650","26098","28597","28748","29397","34336","27109","27980","28856","26947","29963","31751","28765.7","28555","29622","28606","28909.6","36466","28258","29203","29712","30247","30168","31085","30363","28372","29898","29590","29620","44789","30112","31685","32120","32833","32941","34183","33844","33126","33264","33373","35067","42633","34457","34102","37426","36199","36268","41695","35318","35699","36522","38048","38511","47983","37882","39663","40644","40129"
"Ставропольский край","22187","22836","23509","24081","24861","26803","25727","25688","25685","24962","25505","32760.7","23665","23839","25449","25750","25992","27813","27671.7","26773","26787","26975","27586","34549","26343","27110","27123","27697","29077","30453","29132","29001","27769","28340","28256","35677","26937","27941","30019","30784","31812.8","33888","32458","30995","31099","32164","31397","41638","32328","30849","32527","31088","33321","34701","34441.1","33010","32580","33682","32892.8","44651","32323","32660","34839","35465","36454","38414","37953","35988","36151","36581","37182","51074","37331","35274","39217","38799","39718","43018","41425","40507","40649","41112","41085","56799","40852","40511","44031","44173","46512","49080","46972","46141","44930","47253","46900","66313","46285","48378","54386","55942"
"Приволжский федеральный округ","24635","24976","26028","26754","28063","28352","26616","26825","26950","26691","27231","34355.4","26191","26581","28092","28581","30135","30321","28292.5","28397","28591","28764","29169","37163","28758","29343","30534","31126","32773","32758","31149","31209","30951","31467","31822","39680","31087","30952","32820","33765","35292.1","35570","33677","33442","33369","34276","34556","43786","33918","34103","35711","35162","36961","37532","36236.8","35463","36215","36350","36278.6","47607","35975","36325","38667","39618","40584","42398","39387","38400","40152","39759","40982","54217","40449","40307","45408","44847","45733","48061","45692","45020","45779","46454","46871","61731","47101","47782","51385","52540","54868","56550","53996","53552","53906","55491","56044","73749","56442","57406","64220","62567"
"Республика Башкортостан","24922","25163","26163","29066","28840","27875","26786","27519","28109","27218","28109","34050.2","26900","26916","28093","29140","31983","30743","29431.2","30187","29866","30035","30620","37694","30190","30411","31655","32087","35213","32991","32292","33028","32478","32857","33137","39746","32248","32332","34996","35841","37403","38719","36099","36540","35779","36638","36267","44208","35783","35570","36571","37124","37890","40278","38271.2","37854","38358","38324","38396.9","50613","37563","37332","39673","40709","41933","44250","40641","40432","41138","40818","42233","53047","40860","41347","46579","47307","47524","48574","50639","48605","48392","48456","49085","61537","49598","49427","53658","54070","56845","57205","58784","56414","56130","56903","57409","73604","57086","59165","67183","64284"
"Республика Марий Эл","20332","20296","22104","22076","24667","24572","23726","22648","22513","22098","23094","31118.1","20994","22815","26816","23617","28832","27014","24657.2","24737","25235","24756","27401","31527","24953","25273","26591","26029","27724","30558","26960","27056","27388","27151","28232","33768","26938","27259","29578","28674","30441.6","32610","29234","28907","29284","29254","29829","37446","29153","29516","30833","30361","31684","33868","31256.3","30680","31029","32250","34519.5","40669","31413","31441","32824","33602","34760","36861","33920","32548","34040","36488","39777","44750","33216","34418","38141","38300","39138","42640","38382","38082","42537","40635","41871","53735","40283","42148","43750","44112","47902","51364","46998","46961","47443","52050","51074","65951","49913","52185","54783","56604"
"Республика Мордовия","20285","20619","22267","22652","23258","24460","22967","24315","23860","23284","23784","28381.1","21981","22087","24134","23604","24727","26208","24666.6","24864","25358","25150","25282","30828","23958","24763","25775","25586","26560","27586","27432","26964","26168","26355","26999","32749","25888","25900","27262","27549","28245.9","29353","28918","28458","28061","28475","28739","35726","28005","28514","30141","29262","30697","32076","31681.7","31408","31552","31032","30595.8","37871","29932","30404","32771","33288","33693","36171","36150","33517","34476","34374","34856","43666","34798","34203","38492","37676","39759","40841","39437","39159","38604","40103","40109","50596","40760","39746","42154","44909","45444","47801","47118","45933","45442","47118","47452","60015","49968","49500","52787","54871"
"Республика Татарстан","27988","27843","29279","29681","32211","31748","29589","29794","29655","29463","29943","38623.6","29300","29645","31543","31874","33377","33433","30848.6","31448","31486","32277","32358","41842","32165","31889","33179","34863","35935","35312","33761","33894","34117","34867","35722","45310","34407","34002","35335","36837","38732.2","37518","35972","36363","36885","37708","38289","47500","37040","37152","39071","37078","39020","38556","37663.2","38034","39488","40151","40043.8","51855","39571","39563","41656","44212","45759","45136","42391","42154","45498","44475","45976","61859","46325","45889","51074","50580","52789","53490","49202","50315","51332","51681","52144","68815","53633","53645","58233","58907","62813","62557","59578","61543","61990","62460","64659","81985","63410","63628","72410","70148"
"Удмуртская Республика","24695","24093","25347","25770","27807","27814","25944","25910","26383","26682","27046","32191.6","25694","26493","27216","28218","30134","30703","28049.4","28203","29405","29325","30005","36307","27628","29435","30689","30836","33742","33858","31147","31039","31587","31037","31990","36936","31144","31185","31957","33386","36634","35150","33548","32748","33752","33786","34141","41051","33974","33834","34773","34957","37342","38075","34884.3","34654","35190","35036","35033.7","43570","36196","37008","39709","36643","38003","40584","36759","35391","37395","37985","39681","47414","38909","39613","43363","44173","44421","47266","44252","42553","44184","44931","45694","56153","46625","46308","49564","50524","51107","53674","50749","50013","53425","54103","54241","67970","56404","56927","62513","60116"
"Чувашская Республика","19956","20364","21652","21467","22342","24749","21582","22437","23573","22972","23004","28962.1","21789","21983","23506","23592","24743","26974","23305.3","23785","24273","24675","25050","31037","24333","24508","25913","26019","26912","29064","26178","26882","26667","26658","27028","34105","26271","26203","28229","28869","29795.7","31481","29044","28797","28999","29844","29859","38180","28807","29268","30824","29994","31917","31789","31131.1","31332","32101","32846","31232.4","41331","30795","31113","33746","34408","34889","38061","34316","33150","35781","35201","36900","48008","35015","35347","39406","39528","40000","44165","39360","39615","40821","41182","42446","56054","42393","42870","46652","47122","49195","53490","47830","49323","49524","51354","52804","68657","50812","52381","56825","56260"
"Пермский край","27347","27883","29344","29732","30391","31992","30433","30025","30168","29914","30389","40244.4","29522","29841","31884","32565","32767","33877","31185.1","31027","31420","31347","31983","42193","32009","32754","34480","35247","36134","37067","34319","34257","33714","34439","34809","47484","34035","33932","36919","37721","38887","40614","37150","37067","36948","37773","37986","52684","37014","37849","40480","39338","41927","42885","39894.6","38803","39018","39847","39849.9","55548","39091","39176","43016","43842","44829","47072","43108","42558","44106","44632","45746","64960","45151","44302","52087","49843","50726","53972","49145","49504","49626","51506","51479","74055","50914","50632","56085","58113","59799","63680","59010","58162","58312","63268","61585","87375","61467","63416","69081","71263"
"Кировская область","21748","21539","22887","22761","23713","25211","23387","23326","23130","23542","23671","28671.1","22898","22581","24163","24217","24900","26795","24742.7","24098","24715","24810","25040","30914","25163","25316","26564","26681","27874","29617","27576","26974","27117","27376","27580","33453","27406","27303","28365","29318","30267.1","31507","29701","28940","29119","30077","29574","35939","29935","29887","30951","30889","32807","34059","33285.7","31738","31967","32304","31588.4","38922","32254","31696","33356","34460","35165","37328","34972","33970","35706","35109","36014","44650","35752","34439","38564","39308","40221","43599","40081","39423","40173","41521","41106","51050","42520","42275","45358","45427","48167","51459","47009","46859","47109","48656","49106","61428","50289","50764","54024","54256"
"Нижегородская область","24959","26241","26731","27673","28570","29323","26889","27163","28040","27481","28717","37261.5","26727","28530","29290","30301","30865","31479","29063.5","29199","29303","29402","29883","43005","28980","30999","32399","32936","33395","33900","31529","31692","31170","32514","32973","42519","32998","32041","34735","35952","35354.5","36656","34646","33909","34012","34867","35876","48768","33658","34897","37475","35819","36533","37310","36631.9","35634","36843","36558","36702.7","50996","35032","37798","39415","40178","40433","43071","40049","38529","40763","40163","41156","57358","39928","41413","46536","44097","44030","48736","44438","43273","46495","45795","46239","65383","44296","48610","50885","52889","54308","57636","52243","52066","52649","54093","54862","74419","55659","56479","63033","62612"
"Оренбургская область","23821","24287","25159","25823","27524","27221","25434","26443","25698","25258","25393","31470.7","25319","25180","26604","27125","29285","28204","26768","27129","27226","26661","27383","32925","27499","28832","29222","29283","32388","31207","30100","30452","29777","29633","29892","37850","29874","29847","31129","31494","35199.5","34606","32390","32979","32198","32595","32069","39632","33161","32512","33900","32893","38176","36639","34462.1","33776","34614","33582","33373","43507","34601","34801","36958","37241","39921","41181","35715","36276","37843","36800","37021","49391","38572","37491","40258","41421","44214","45411","44349","43102","42600","43318","43806","57244","45804","46758","50771","50223","55206","55458","50818","50290","51742","52160","53414","73256","54014","56552","63515","58825"
"Пензенская область","22693","22839","24101","25114","25395","25987","25709","25770","25259","25309","25566","31318.7","23549","23872","25875","25470","27047","27320","27153.6","27487","26297","26380","26463","32008","24571","25197","25324","26580","28501","29892","29034","29404","28668","29424","30112","33342","27496","27590","28438","29468","31291","30545","30425","30167","30465","32015","32265","39295","32710","32262","31438","31201","33446","33295","33042.1","32449","32143","32710","31820.9","40927","34441","34167","35744","36167","36535","35604","35933","34532","34468","34339","35247","45513","36284","35457","40497","40091","40197","42476","41098","41118","40279","41465","41937","53932","42245","41524","44374","46282","47475","49151","47454","47952","47208","49322","50408","64666","50045","49800","54304","53619"
"Самарская область","25872","26387","27140","27218","30076","29916","28342","28180","27934","28022","28412","34700.6","27594","27257","29212","30215","32260","32021","29877.1","29065","29567","30042","30242","36519","30286","30368","32258","32699","35327","34587","34052","33273","32852","33615","33086","40651","32399","32753","34726","35408","38325.1","37697","36510","35274","34857","36267","35896","44670","35215","35605","37044","38012","39210","39427","39159.9","36724","37862","37841","37967.5","48983","37494","37418","40686","41675","42594","45906","42887","40087","42155","41189","42669","57987","42013","40807","47751","45890","46176","48461","48276","46585","46611","48490","48448","61582","48037","48453","52623","54052","55948","56225","56827","55189","55200","56184","55964","74108","58461","59043","70626","64082"
