"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Российская Федерация","503836.8","703831.3","830995.5","1042720.8","1313550.5","1754406.2","2350840.5","3293323.5","4528144.5","3998342","4454156","5140310","5714109.5","6019464.5","6125191","7010355.5","7213464","7579838","8470580","9132153","9686257","11047948","12865504"
"Центральный федеральный округ","144969.2","191698","224018.2","299631.4","391465.4","517238.7","706807.5","942811.1","1214848.2","1068106.8","1159676.1","1270451.8","1417953.4","1492522.8","1593876.2","1780675.5","1842119","1984091.2","2157211.5","2356914.2","2626914.8","2914419.5","3682492.2"
"Белгородская область","4572.6","4581.7","5356","7383.4","11636.6","14760.7","18543.5","32723.9","43588.6","29832.4","41302.7","70808","80017.7","71282.4","63342.7","76726.1","70984.9","88591.8","92638.3","118522","127125","123674.3","145711.5"
"Брянская область","2191.1","2263.4","2496.5","2707.4","3778.8","4122.9","4963.5","8145.5","11862","11499","13900.9","16941.9","18018.5","22496.7","23973.6","24983.8","27764.4","28564.6","25316.5","30335","40518.5","46429.6","43549.7"
"Владимирская область","2736.4","3141.4","3317.3","3226.8","4373.7","6446.5","8876.5","16250.7","20594.4","20069","21308.9","23311.6","27075.8","30211.5","32305.5","30576.2","34277.7","37927","40515","42923.9","43864.7","64536","116942.5"
"Воронежская область","3627.7","4893.8","6552.8","8210.5","9494.5","11125.2","14915.6","23289.2","32482.4","31139.4","40755.1","49766.9","61988","68720","74643.2","107591.4","100403.6","107531.1","128660.8","136924.6","133017.8","122778.5","135023.7"
"Ивановская область","1282.1","1371.9","1638.1","2245.5","3164.4","3620","6900.4","10403.7","12064.7","15007.8","12800.8","16221.5","16234.7","18578.8","20923","21859.1","20848.7","27843.5","31998.4","40053.7","43805.1","52942.4","58993.3"
"Калужская область","2556.5","3231.4","3745.2","4375.5","5917.9","7622.6","10933.6","15433.7","24283.7","23378.8","26812.4","33775.3","42733.8","42436.3","44969.3","59763","53878.9","66936.2","67997.4","67112","74857","77177.3","69424.4"
"Костромская область","1758.5","1730.4","2446.8","2901.3","2885.2","3916","5327.9","7991.2","9680.4","8416.9","8960.5","8045.9","8485.2","8307.4","8663.1","13498.7","10949.7","9020.1","11780.2","12591.9","16057.8","16885.5","19877.7"
"Курская область","2202.3","3325.4","3298.8","4372.5","6041.2","7125.6","10257.2","14665.9","20444.9","19970","23305.9","29581.8","33648.1","36918.3","42060.5","43495.9","44911.5","50200.5","57125.9","77081","82453","112268","141528.6"
"Липецкая область","2945.4","3213.4","3692.2","5372.7","8009.5","12255.4","15182.2","19994","23378.1","25591.1","25716.5","28464.8","31372.2","34266.8","36690.4","40838","42387.9","48597.2","56015.2","67817.6","77019.9","75787","93549.8"
"Московская область","21675.1","30301.8","33301.7","41590","74889.8","120237.3","161798.9","217631.9","271169.1","210355.6","230771.3","265066","303071.6","289351.4","314325.8","320716.2","328468","357555.1","469584","520116.6","572893.8","536546.2","775762"
"Орловская область","2219.7","2832.3","2676.5","3352.1","3827.2","4255.2","5796","7981.4","10923.4","7988.3","7859.7","9497.9","14687","15796.6","16861.4","23677.4","19544.1","21215.1","22747.4","27027.5","29405.8","32846.1","38361.7"
"Рязанская область","2565.8","3928.2","3983.2","6488.8","7804.6","12164.9","13986.3","22072","28061.5","18685.1","25768.3","31881.5","36509.6","42200.2","33091.2","43439.9","40195.7","45602.2","49224.9","54701.8","50453.6","54902.3","61546.4"
"Смоленская область","3655.2","4941.8","5203.7","6501.2","6381.1","7214.4","8472.5","10895.5","15704.4","15609.3","19341.4","25566.2","26524.3","25343.7","25761.8","23570.1","23923.6","25175.6","24446.5","26401.9","27229.6","29513.5","30365.3"
"Тамбовская область","1336.3","1945.7","2710.3","3511.5","4839.2","6583.3","8562.9","12142.3","16551.3","17793.5","17560.1","20470.3","24209.6","27398.8","30552.4","33188.8","32733.2","33295.9","29865.5","30797.9","32248.5","37264.9","31740.5"
"Тверская область","2770.2","5075","6668.6","9963.5","12857.7","13597.9","10963","12154","19999.5","25974.7","27771.4","32534.6","19866.3","16457.3","18108.6","30067.9","26126.8","31217.7","24268.7","29032.5","37166.7","38359.3","41214.3"
"Тульская область","3536.4","3837","4147.8","5626.6","6516.7","9851.5","12945.1","18243.6","23377.1","31454","25041.6","19624.9","22284.9","24984.5","26773.6","39502.2","41727.1","42264.1","50147.3","82340.1","91350.3","106271.1","108407.5"
"Ярославская область","3523.2","4530.8","6198.2","7661.8","10828.3","20124","23537.5","24620.1","33269.2","32400.2","36823.7","39816.9","41496.8","43495.3","46132.7","40965.4","46224.8","51456.2","59309.8","41706.4","52632.8","75075","80421.4"
"г. Москва","79814.7","106552.6","126584.5","174140.3","208219","252215.5","364844.8","468172.7","597413.4","522941.7","553874.9","549075.8","609729.3","674276.8","734697.6","806215.3","876768.6","911097.4","915569.8","951428","1094815.1","1311162.6","1690072.1"
"Северо-Западный федеральный округ","52281.2","69913.3","90753.3","126037","159533.1","229684.3","360459.1","451384.6","630934","587744.3","679920.5","730884.9","783443.9","771037.2","817509.7","1048125.7","1154849.1","1067078.8","1198579","1164599.9","1122401.8","1250155.8","1229817.5"
"Республика Карелия","2213.5","4055.2","3994.4","3812.4","3827.4","4892.8","6222.2","7395.5","9729.1","8457.5","12343","10910.7","12182.6","16459.2","14003.3","19128.9","16957.2","21720.5","31662.5","30041","28171.6","31332.8","46608.4"
"Республика Коми","4764","7851.1","8651.9","10805.9","13395.5","22773.8","34669","34517.5","41550.9","45628.6","56608.9","67662","104123","92221.8","81184","77330.4","105320.8","45160.7","47646","44864.7","60036.7","54314.5","39777.9"
"Архангельская область","3895.1","5795.9","7494.1","8065.4","12210.1","23218.4","37479.1","39707.1","39780.8","22279.7","32936.5","39207.5","35476.1","52319.9","39997.6","45903.8","56707.3","71549.2","95862.2","84314.2","71182.2","105934","76691.1"
"Ненецкий авт. округ","588.9","2368.1","4816.8","3821.4","6224.9","8893.5","12203.5","25013.1","12831.7","6798.1","11264.8","11883.5","6285.3","8392.9","8574.3","9962.1","8720.2","12207.7","40650.3","25996.5","20479.5","20724.6","21746.4"
"Архангельская область без авт. округа","3306.2","3427.8","2677.3","4244","5985.2","14324.9","25275.6","14694","26949.1","15481.6","21671.7","27324","29190.8","43927","31423.3","35941.7","47987.1","59341.5","55211.9","58317.7","50702.7","85209.4","54944.7"
"Вологодская область","3965.1","4928.6","5697.5","7642.5","15893.5","20027.2","40069.4","38736.3","38044","27674.1","36395.3","59683.7","60476","48862.7","41429.5","55677.4","65769.2","91882.7","103048.7","108657.1","115156.5","124610.1","97829"
"Калининградская область","1694.2","2158.4","4960","7712.3","6749.7","9582.3","19011.3","20650.5","23583","24900","26470.9","33681.6","30994.3","34604.3","42045.3","59929.7","72170.6","98824.8","105781.6","71888.5","82119.6","73798.8","93676.6"
"Ленинградская область","7256.8","8769","8597.6","17839.3","22952.7","27258.2","53727","58188.1","77937.8","80035.8","89104.6","102960.4","114638.5","90300.2","101123.1","104491.5","98150","112532.4","159227.2","250992","206423.6","228443.1","196619.2"
"Мурманская область","2860.9","4279.9","4665.1","5176.4","6872.5","9483.9","10465.3","12631.7","16696","16233.6","18356.9","21409.2","22255.2","22762.6","28553.5","34009","34379.2","45333","37883.2","60734.4","77052.6","116664.2","112589.6"
"Новгородская область","2064.7","3140.4","2013","4803.8","5034.3","6515.3","7022.1","9373.1","12595.9","15297","17501.3","17941.7","21458.2","26101.8","34782.9","41877.7","58217.5","37324","25952.1","15048.9","18572.2","22239.7","29389.9"
"Псковская область","1583.2","1719.4","1910.3","2782","3265","3915.2","4033.5","6872.1","9232.8","6621.7","9192.7","9912.6","9968","11601.3","12705.5","17435.7","21101.3","25274.4","26727.9","28787.6","24760.3","24368.7","28123.6"
"г. Санкт-Петербург","21983.7","27215.4","42769.4","57397","69332.4","102017.1","147760.2","223312.8","361783.8","340616.2","381010.3","367515.4","371872","375803.6","421685.1","592341.5","626076","517477.2","564787.6","469271.5","438926.5","468449.8","508512.1"
"Южный федеральный округ","43542.6","60275.1","74145","80427.5","94313.4","123158","172844.6","246139.1","357476.7","347263.5","449688.2","561058.9","628863","731522.8","587574.9","598496.4","563542.8","688675.6","757941.5","734512.8","762653.5","850913.8","944542.7"
"Республика Адыгея","667.2","862.7","886.9","1176.8","1095.8","1584.4","1842.1","6901.3","6539","7801","7762.4","9248.4","9864.2","9651.6","10280.1","11545.8","12868","12704.4","19454","25473.1","22669","22338.5","35338.5"
"Республика Калмыкия","618.5","1566","2671.6","1324.5","1527.5","1912.1","2211.3","1955","2362.4","2862","2937.8","2891.6","3604.1","3862.8","8124","3525.6","1320.8","2945.5","6495.1","7418.2","8748.3","4713.3","4399.1"
"Республика Крым","","","","","","","","","","","","","","","3208.7","3351.2","16019.6","51085.8","151953.8","138846.6","142865.9","102472.7","149554.6"
"Краснодарский край","22114.2","30738.7","38269.7","40132.5","49290.8","57818.6","84984","125265.9","182312.9","204427.5","299575.2","399396.9","442396.7","480663.6","316186.5","275549.8","252093.4","308669.3","311056.1","280753.7","293715.7","325673.7","329974.4"
"Астраханская область","3925.9","5578.7","5684.7","7300.2","7077.8","8689.3","11010.3","18131.8","28770.6","20537.1","17436.4","18221.1","21263.1","52284.9","42049.3","36309.1","26473.6","39579.2","40964","40399.5","41350","60128.9","39477.7"
"Волгоградская область","7142.3","8906.4","13012.3","13850.3","15490.5","20690","25133.9","33027.6","52131.7","41317.1","45481.9","47914.8","54785.8","58597.5","62336.1","86190.1","77005.7","91870.9","77636.7","79020.6","80261.3","85655.3","106243.9"
"Ростовская область","9074.5","12622.6","13619.8","16643.2","19831","32463.6","47663","60857.5","85360","70318.8","76494.6","83386","96949","126462.5","143234.3","172545.6","159300.6","171252.6","133262.3","143940.5","157059.8","222863.7","248045"
"г. Севастополь","","","","","","","","","","","","","","","2155.9","9479.3","18461.1","10568","17119.5","18660.6","15983.5","27067.8","31509.5"
"Северо-Кавказский федеральный округ","13849.6","17892.8","23171.4","25912.5","31836.4","43246.2","60877.5","100072.2","131758.4","131470.3","138691.4","163050.9","184238.6","198927","249116.2","268787.1","272664.4","310232.1","339653.5","417844.9","430622.8","476554.3","529322.8"
"Республика Дагестан","2276.3","4063.2","4071.3","6080.7","8971.7","14079.7","22365.4","33091.9","45666.8","53644.9","60223.5","68358.3","75717.3","88405.3","105998.7","123921","133440.4","153083","135068.3","170615.7","180977.8","189606.8","201441.9"
"Республика Ингушетия","361.4","588","432.8","744.6","1329.9","1957.6","1773.5","3457.5","3528.4","4127.8","3253.7","1908.9","4317.5","9297.1","10647.2","7953.9","8209.7","6229.1","13914.3","16175.7","11436.1","16702.1","9229.1"
"Кабардино-Балкарская Республика","1440","1959.9","2420.5","2816.2","3200.7","3910.4","3186.1","4148.7","6162.1","6054.8","4431.2","5707.7","6734.4","7937.2","9519.3","13460","14881.1","15384.9","18337.6","23883.1","28350.1","29228.6","35591.6"
"Карачаево-Черкесская Республика","282.4","589","1097.3","1028.5","1293.1","3021.4","4336.7","4967.3","5910.4","5495.2","4640.3","8009.5","10836.6","13453.2","13603.6","13145.7","13678.3","14271.4","16352","16269.1","16410","23126.9","18470.1"
"Республика Северная Осетия - Алания","1200.5","1815.2","2535.9","2387.4","2560.6","3816.2","4971.5","9685.7","11399.4","12241.1","12943.9","14654","12091.6","12853.3","20941.7","22445","23990.2","13761.3","19052.4","21427.1","17746.2","16694.3","21843.2"
"Чеченская Республика","","","3478.7","3020.4","3057.8","3420.2","8917.1","23858.1","27970.4","26139.1","23741.5","26846.7","29877.5","18972.6","25436","25953.1","26494","29672.7","45221.7","52947.4","45736.9","68600.2","88002.6"
"Ставропольский край","8289","8877.5","9134.9","9834.7","11422.6","13040.7","15327.2","20862.9","31121","23767.4","29457.2","37565.7","44663.7","48008.4","62969.7","61908.3","51970.7","77829.6","91707.2","116526.9","129965.6","132595.2","154744.2"
"Приволжский федеральный округ","81901.8","113688.2","121025","152304.4","197038.6","280970.5","351415.5","509924","712290.4","626108.7","686114.7","811944.9","1010586.6","1114417.8","1192962.1","1329777.2","1307540.6","1366814","1337438.4","1499687.1","1516676.2","1805033.8","2245433"
"Республика Башкортостан","15676.8","21242","19988.7","25365","32090.6","46438.6","56203.4","83096.3","102727.3","81341.1","80890","99076.6","135626.7","139640.9","145411.6","180738.9","191359.1","195779.5","190419","229538.4","216543.7","257852.8","303844.4"
"Республика Марий Эл","1066.7","1123.2","1474.7","2171.7","2626.7","3475.1","4626.3","7533.4","9962.2","6710.5","9511.4","11955.9","12353","13126.9","14662.7","15337.3","13214.7","13739.7","14694.8","18028.3","21718.2","26474.2","23147.4"
"Республика Мордовия","1365.9","2386.2","2808.6","4009","4215.8","5379.9","7233.6","11021.7","14633.4","14414.1","17246.1","26214","24653.3","20535.3","21034.9","27060.1","28080.8","33020.4","25450.4","29398.1","26142.6","29639.5","36138.8"
"Республика Татарстан","15260.3","20692.9","23279.5","31042.1","44669.3","71499.8","86606.7","124041.5","156977.7","165221.5","178667.8","220777.6","287251","297459.9","309629.2","334183.1","336856.6","344427.1","349096","364230.7","363130.7","416227.4","573145.3"
"Удмуртская Республика","4193.9","5867.3","5286.4","6586","7797.5","9068.6","10699.3","17279.2","25180.6","15765.3","23586.5","25025.7","26811.6","35643.3","38718.1","44163.7","42729","40987.7","40975.3","49706.5","55990.5","61284.1","43032.4"
"Чувашская Республика","2710.7","3659.5","4314.6","5599.5","7784.1","9942","13542.2","25035.1","33740.2","17619.4","19501.7","23710.6","27823.4","34931.6","36961.4","35325.5","35842.5","33865.2","39599.4","38530.7","38243","45482.3","54506.7"
"Пермский край","8024.6","11495.8","11130","13346.2","17420.5","23976.3","26671.9","38895.2","60280.4","63193.8","70636.7","74574.6","76933.6","85927.1","93206.1","111970.1","104939.1","118037.3","120213.5","144726.5","153129.3","163753.1","188460.7"
"Кировская область","2455.8","2947","3218.1","3808.9","4350.6","5533.6","8644.4","11652.7","14414.4","10949.8","16213.7","17803.4","22155.8","26013.9","28330.5","33945.6","33672.5","32297.5","33388.4","32950.9","32132.6","35753.3","39769.3"
"Нижегородская область","6559.5","12936.6","14288.4","16441.2","22075.3","31794.5","42391.9","53068.3","109244.3","104759.7","97822.3","109311.4","128349.8","142638.3","155110.7","150106.8","153216.2","168993.3","143775.9","181487.9","192855.6","206120.4","310444.3"
"Оренбургская область","5197.8","6188.2","6428.3","8878.4","10855.6","13184.2","17320.2","24640.3","34507.1","25826.3","31409.1","35025.4","41873.5","41456.1","47597.4","60566.7","49750.8","62949.9","78643.5","101307","89728","96742.5","88907.9"
"Пензенская область","2343.3","2964.3","3278.5","5247.7","6411.2","7085.9","9153.7","18050.1","28901.7","22812.3","21573.5","27574.1","37437.3","40293.9","39824.7","39423.9","33648.4","31959.5","31499.6","39153","48195.5","53193.9","55407.1"
"Самарская область","8643.5","13094.1","15163","16862.7","21574.5","27600.2","33358.4","47978.4","55810.6","43508.9","61213.3","67670.3","103007.8","139333","159384.8","170735.1","187629.5","191782.1","159193.6","163261","168286.7","253927.2","283282.2"
"Саратовская область","5764.1","5631.5","6802.8","9340.6","11118.7","20743.4","24224.1","31743.4","42357.4","33395.8","38739.6","46605.5","54143.2","59730.6","60248.6","76562.1","54852.7","59974.4","63768.4","66526.2","72131","121151.7","187740.6"
"Ульяновская область","2638.9","3459.6","3563.4","3605.4","4048.2","5248.4","10739.4","15888.5","23552.9","20590.1","19103","26619.9","32166.5","37686.9","42841.4","49658.5","41748.8","39000.2","46720.7","40841.9","38448.7","37431.5","57605.7"
"Уральский федеральный округ","83695","140774.5","155651.7","196596.1","207361","245824.2","305862.7","456097.6","653106.4","542117.2","578855.4","638123.8","708946.6","706213.3","716109.2","816487.8","854442.6","874544.1","1331563","1264369.5","1508205.5","1718595.2","1762097.8"
"Курганская область","1150.4","1420.8","2156.8","2439.5","2906.3","3901.6","4941.8","6524.2","12839.6","11328.7","8954.3","9938.5","10925","13396","12996","13182.3","12214.2","13973","14906.9","21664","23328.2","24920.2","26541.6"
"Свердловская область","12199.8","15261.9","18305.1","22178.2","29569","42432.4","58923.9","87398.9","114798.9","74576.6","88889.6","106466.6","112859.9","107171.5","107973.3","188056.5","185498","188226.8","210622.8","199593.8","226786.9","287594.5","329337.7"
"Тюменская область","58964.4","109718.4","121951.9","154524.6","154311.1","172033.4","210024.7","311067.8","446166.4","407079.8","426342.9","455932.8","514270.1","506941.6","515241.8","488850.3","534031.8","565906.2","996360.7","933180.7","1116973.8","1238933.8","1200164.8"
"Ханты-Мансийский авт. округ - Югра","31972.1","52723.6","53577.9","63782.8","55316.7","71611.9","91832.9","136900.3","181042.4","164786.6","176794.9","219657.7","246503.8","229549.6","217036.1","216178.1","196975.4","227074.9","336103.9","324683.8","367911.4","400898.2","414327.3"
"Ямало-Ненецкий авт. округ","21265.7","47986.1","58760.4","78349.1","76176.3","61704.6","63740.5","105093.9","174684","175915","179857.3","156558.9","165026.2","141827.6","151154.8","138303.3","177220.5","157482.2","424490","389750.3","574861.6","673927.6","593712.3"
"Тюменская область без авт. округов","5726.6","9008.7","9613.6","12392.7","22818.1","38716.9","54451.3","69073.6","90440","66378.2","69690.7","79716.2","102740.1","135564.4","147050.9","134369","159836","181349.2","235766.8","218746.5","174200.7","164108","192125.2"
"Челябинская область","11380.4","14373.4","13237.9","17453.8","20574.6","27456.8","31972.3","51106.6","79301.5","49132.1","54668.6","65785.9","70891.7","78704.3","79898.1","126398.8","122698.6","106438","109672.5","109931.1","141116.6","167146.7","206053.6"
"Сибирский федеральный округ","46866.8","55797.9","60180.3","77962.1","99379.1","153980.5","198330.8","290595.1","369179.2","313321.7","377852.1","469761.1","552385.4","567272.2","573930.2","733398.4","737558.7","741738.9","746459.4","862644.6","887046","1137098.6","1406908.8"
"Республика Алтай","300","657.8","760.4","842.1","1529.9","1881.4","2818.7","3766","5227.9","5453.7","8320.7","10481.6","7137.1","7196.6","8013.4","6798.2","7524.6","6412.8","9491.4","11877.9","10132.2","8871.9","15567.3"
"Республика Тыва","152.4","447.4","548.5","633.3","634.3","634.3","652.6","949.6","1027.4","2018","2225.9","2463.2","2511.5","4192.6","5405","4783.4","4922.8","6549.6","6391.9","11062.2","12104.3","8976.6","7559.5"
"Республика Хакасия","1380.7","1663.8","1593.9","2224","2823.6","6682.4","8014.2","6350.5","6531.9","6040.7","7602","10027.3","12852.4","14884.1","12306.8","14770.1","15056.5","14544.8","15348","17967.7","19812.1","21377.8","27248.5"
"Алтайский край","4765","3135.4","3621.4","5408.8","6565","10743","14789.4","22000.5","26020.6","16573.1","20881.3","27396.5","29863.8","34108.6","34630.7","52207.4","45834","56493.5","54195.6","58395.2","67043","79113","79389.9"
"Красноярский край","12370.8","15896.5","15673.9","18637.8","19124.7","24634.7","31508.1","47268.3","65046.1","78632.3","87265.2","107462.7","133576.1","135541.6","133530.5","185744.2","201674.6","177181","165170.9","157227.2","176762.5","226482.9","363269.5"
"Иркутская область","6511.9","8400.4","7577.2","10193.8","14917.2","20544.4","28107.2","45445.2","50022.9","47795.8","55017.7","63825.4","89331.9","94617","89312.6","98839.4","131836","130347.8","113826.4","158311.4","164413.5","280899","303306.8"
"Кемеровская область","8281.2","9871.2","10878.1","13373","19320.4","35251.7","42033.2","58041.9","79178.1","62134.2","69863","102265.8","114065.1","111660.2","121652","111619.6","95732.5","117662.3","130050.6","156019.2","130829.3","160187","186842.9"
"Новосибирская область","7166.4","6210.2","7113.2","10100.9","11805.8","15750.1","21311.7","36380.6","47942.8","31045.4","52873.9","56372.7","66337.9","69909.2","68539.2","142304.2","114883.5","117545.6","132879.4","137383.1","149076.9","170450","212892.6"
"Омская область","2549.1","3553.4","5372.8","8023","11946.3","21401.9","26013.3","38353.1","52220.5","33726.8","42953.7","50613.5","58037.2","60713.2","61925.8","63374.4","62668.4","64752","74079.1","99500.4","98666.3","111892.8","141415.5"
"Томская область","3389.3","5961.8","7040.9","8525.4","10711.9","16456.6","23082.4","32039.4","35961","29901.7","30848.7","38852.4","38672.4","34449.1","38614.2","52957.5","57425.8","50249.4","45026.1","54900.2","58205.9","68847.4","69416"
"Дальневосточный федеральный округ","31857","53791.5","59870","83849.8","103442.7","155066.6","190468.3","244043.4","285745.4","315744","373372.1","441553.8","427691.9","391119.8","371625.6","434607.6","480747","546663.1","601734.1","831580","831736.1","895177.4","1058881.8"
"Республика Бурятия","2036.3","3555.3","3423.8","5203.8","4654.1","5038.8","7102.9","9038.9","12284","14707.6","15947.9","19990.1","21104","20306.7","20276.2","20703","23580.3","31505.1","27559.8","27770.8","29194.8","29376.2","62049.5"
"Республика Саха (Якутия)","7706.5","11906.6","12632.9","14824.2","17004.3","21159.7","26743.5","40255.2","51463.1","68387.5","48965.8","58585.1","70534.3","65690.5","70018.9","91467.4","115985.6","151127.4","165442.3","197693.6","114877.7","138603.3","203571.5"
"Забайкальский край","2715.6","4537.7","4165.6","6269.5","5876.6","7144.8","9957.3","17603.4","25206.4","23323.4","17618.3","20437.2","22997.8","24968.3","24379.5","25560.9","28749.9","30516.9","29595","31565.4","44526.9","47596.4","63405.4"
"Камчатский край","1508.5","1980.7","2174.8","2670.1","3164.4","4054.6","4802.2","6259.3","9597.9","15692.6","16825.9","17183.8","16615.1","17985.5","16435.3","17306.4","22988.8","23113.7","23437.4","23868.2","24033.1","32727.4","40189.6"
"Приморский край","4507.3","5652.2","7150","9393.3","11462.8","14058.7","18455.7","24254.8","34759.4","63740","96166.1","123825.9","86178.2","62685.6","54269.7","62960.2","66936.6","72270.2","71887.3","96895","116789.7","123638.5","145469.4"
"Хабаровский край","5459.1","8669","9553.2","12593.9","18213","23505.7","27677","31726.2","38977.4","41116.8","70828.1","67149.5","69609.8","61327.8","56177.2","59323","59775.1","58097.5","70824.3","85794.6","101782.8","122096.3","122320.5"
"Амурская область","2050.4","10080","9001.4","11129.6","10830.3","13696.6","14232.1","22078.1","27153.9","27875.8","31135.2","34335.8","38492.5","33463.5","31658.9","50477.9","52830.6","82527.4","110182","247162","266353.3","253095.4","260396"
"Магаданская область","1077.4","1347.8","1785.9","1929.8","1800.5","2358.7","3078.4","3458.5","5288.1","5653.1","6992.7","8946.3","12716.2","19480.2","19155.6","19995.3","14666.4","14139.9","14697.5","22426.4","26967.3","26005.9","25302.9"
"Сахалинская область","4141.6","5056.9","8156.7","17030.5","26549","57702.9","73093.8","80372.2","74916.1","49282.6","55726","77047.7","77259.9","75081.9","71836.5","78574.1","86085.7","69539.5","70895.3","78413","87389.7","95407.1","110184.2"
"Еврейская авт. область","501.1","720.6","951.2","1482.7","2381.6","4301.5","3992.6","6796.4","4273.4","4834","11617.7","12052","9696.4","8967.2","6546","5014.9","4868.7","9968.4","11440.7","10418.9","11580.4","13569.5","16113.3"
"Чукотский авт. округ","153.2","284.7","874.5","1322.4","1506.1","2044.6","1332.8","2200.4","1825.7","1130.6","1548.4","2000.4","2487.7","1162.6","871.8","3224.5","4279.3","3857.2","5772.6","9572.2","8240.4","13061.2","9879.4"
